3,,,,,,,,,,,,,,,,Stream #1,,,,,,,,,,,Stream #2,,,,,,,Stream #3,,,,,,
Photonum,SortChem,Old Micronum,Site Name,Date,Sample_Collection_Time_hr,H2O2_start_time_hr,Sample_Depth_m,Water_Depth_m,Water_type,Cond_(uS/cm),pH,Water_cdtns,Wind_speed_kts,Sky_cdtns,NOTES:,C-SCG,C-FISH,C-NA,100-TEM,100-LTR,53-TEM,53-LTR,3-NA,0.22-NA,V-SYBR,V-Cult,Abs/EEM,DOC,BacResp,BacProd,H2O2 snapshot,H2O2 whole,H2O2 filtered,100 µm - EtOH,100 µm - Gly,20 µm - EtOH,20 µm - Gly,.8 µm - EtOH,.8 µm - Gly,.45 µm - virus
E140032,E2014-0024,E2014-0024,WLE12,8-Jul-14,12:05 PM,3:04 PM,DepthINT,5.7,LA,,8.334,R,10 - 15,R,pH measured after cruise at about 3:30 PM / 3-NA filter broke - all went to 0.22-NA,X,X,X,X,X,X,X,NO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
E140033/154,E2014-0025,E2014-0025,WLE13,8-Jul-14,12:50 PM,3:13 PM,DepthINT,8.2,LA,,8.302,R,15.0,O,pH measured after cruise at about 3:30 PM,,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
E140034,E2014-0026,E2014-0026,WLE4,8-Jul-14,1:50 PM,3:20 PM,DepthINT/0.5,7,LA,,8.450,R,15.0,S,pH measured after cruise at about 3:30 PM / Very wavy - lots of splash on boat / pump stoped halfway - half depth integrated-half niskin grabs,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
E140035,E2014-0027,E2014-0027,WLE8,8-Jul-14,2:40 PM,3:25 PM,0.5,4,LA,,8.138,R,20 - 30,S,pH measured after cruise at about 3:30 PM / no pump - used niskin grabs,,,X,,,,,,,,,X,X,X,X,X,X,X,,,,,,,
E140036,E2014-0028,E2014-0028,WLE2,14-Jul-14,10:05 AM,10:30 AM,DepthINT,5.1,LA,,8.382,C,5 -10,S,"chunks of microcystin (algae), egg drop soup consistancy",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
E140037,E2014-0029,E2014-0029,WLE6,14-Jul-14,10:40 AM,10:55 AM,DepthINT,2.5,LA,,8.384,C,<5,S,algae - egg drop soup consistancy,,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
E140042,E2014-0030,E2014-0030,WLE12,14-Jul-14,11:20 AM,11:40 AM,DepthINT,6.1,LA,,8.320,C,5 - 10,S,no clear algae chunks,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
E140039,E2014-0031,E2014-0031,WLE13,14-Jul-14,11:55 AM,12:07 PM,DepthINT,8.5,LA,,8.448,C,10 - 15,N,no visible algae chunks,,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
E140040,E2014-0032,E2014-0032,WLE4,14-Jul-14,12:35 PM,12:55 PM,DepthINT,8.2,LA,,8.430,C,5 -10,N,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
E140041,E2014-0033,E2014-0033,WLE8,14-Jul-14,1:15 PM,,DepthINT,4.2,LA,,8.475,C,5.0,N,egg drop soup algae consistancy,,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
