3,,,,,,,,,,,,,,,,Stream #1,,,,,,,,,,,Stream #2,,,,,,,Stream #3,,,,,,
Photonum,SortChem,Old Micronum,Site Name,Date,Sample_Collection_Time_hr,H2O2_start_time_hr,Sample_Depth_m,Water_Depth_m,Water_type,Cond_(uS/cm),pH,Water_cdtns,Wind_speed_kts,Sky_cdtns,NOTES:,C-SCG,C-FISH,C-NA,100-TEM,100-LTR,53-TEM,53-LTR,3-NA,0.22-NA,V-SYBR,V-Cult,Abs/EEM,DOC,BacResp,BacProd,H2O2 snapshot,H2O2 whole,H2O2 filtered,100 µm - EtOH,100 µm - Gly,20 µm - EtOH,20 µm - Gly,.8 µm - EtOH,.8 µm - Gly,.45 µm - virus
,E2014-0977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-0978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-0979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-0980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-0981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-0982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-0983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-0984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-0985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-0986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-0987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-0988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-0989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-0990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-0991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-0992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-0993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-0994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-0995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-0996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-0997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-0998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-0999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2014-1266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
