SampleID	Samplenum	Date	Date_year	Days	Station	Fraction	Photonum	pH	Type	Intensive	Arrival	Departure	Sky	StationDepth	Secchi	Temp	Turbidity	ParMC	DissMC	Phycocyanin	Chla	Bloom	LogPhyco	LogChla	LogParMC
E0024_100LTR	E0024	7/8	7/8/14	42	WE12	100L	E140032	8.334	sample	n	12:09	12:25	rainy	5.7	1	23.5	9.47	0.00001		0.12	6.98	a	-3.058893689	2.803227036	
E0024_22NA	E0024	7/8	7/8/14	42	WE12	22NA	E140032	8.334	sample	n	12:09	12:25	rainy	5.7	1	23.5	9.47	0.00001		0.12	6.98	a	-3.058893689	2.803227036	
E0024_CNA	E0024	7/8	7/8/14	42	WE12	CNA	E140032	8.334	sample	n	12:09	12:25	rainy	5.7	1	23.5	9.47	0.00001		0.12	6.98	a	-3.058893689	2.803227036	
E0026_100LTR	E0026	7/8	7/8/14	42	WE4	100L	E140034	8.45	sample	n	13:22	13:47	sunny	7	2	23.7	1.16	0.00001		0.6	3.55	a	-0.736965594	1.827819025	
E0026_22NA	E0026	7/8	7/8/14	42	WE4	22NA	E140034	8.45	sample	n	13:22	13:47	sunny	7	2	23.7	1.16	0.00001		0.6	3.55	a	-0.736965594	1.827819025	
E0026_CNA	E0026	7/8	7/8/14	42	WE4	CNA	E140034	8.45	sample	n	13:22	13:47	sunny	7	2	23.7	1.16	0.00001		0.6	3.55	a	-0.736965594	1.827819025	
E0028_100LTR	E0028	7/14	7/14/14	48	WE2	100L	E140036	8.382	sample	n	10:00	10:24	partly sunny	5.1	1.8	24.4	3.61	1.02		17.18	10.43	b	4.102658131	3.382667253	0.028569152
E0028_22NA	E0028	7/14	7/14/14	48	WE2	22NA	E140036	8.382	sample	n	10:00	10:24	partly sunny	5.1	1.8	24.4	3.61	1.02		17.18	10.43	b	4.102658131	3.382667253	0.028569152
E0028_CNA	E0028	7/14	7/14/14	48	WE2	CNA	E140036	8.382	sample	n	10:00	10:24	partly sunny	5.1	1.8	24.4	3.61	1.02		17.18	10.43	b	4.102658131	3.382667253	0.028569152
E0030_100LTR	E0030	7/14	7/14/14	48	WE12	100L	E140042	8.32	sample	n	11:17	11:32	partly sunny	6.1	1.5	24.6	3.7	0.00001		0.73	7.74	a	-0.454031631	2.952333566	
