Date,Site,Arrival,Departure,Lat,Long,Winds (kn),Waves ,Sky,StationDepth,Secchi,Temp,Turbidity,ParMC,DissMC,Phycocyanin,Chla
08/04/14,WE12,12:48,13:17,41 42.157,83 15.781,<5,0,hazy,6,0.6,24.6,17.7,9.28,,45.43,54.46
08/04/14,WE12B,12:48,13:17,41 42.157,83 15.781,<5,0,hazy,6,0.6,24.6,10.2,4.39,,44.5,46.27
08/04/14,WE13,14:08,14:29,41 44.539,83 08.286,<5,0,partly sunny,8.3,1.2,24.2,2.11,1.17,,8.46,6.74
08/04/14,1-Aug,12:00,12:25,41 42.913,83 19.722,<5,0,hazy,2.9,0.5,24.9,22.3,8.19,,34.93,51.2
08/04/14,2-Aug,13:25,13:48,41 40.561,83 14.329,<5,0,mostly sunny,5,1,24.5,20.4,10.58,,64.57,69.44
08/11/14,WE2,11:34,11:47,41 45.856,83 19.922,15-Oct,2,rainy,5.1,0.2,23.8,41.9,29.3,,268.78,71.96
08/11/14,WE4,13:30,13:38,41 49.578,83 11.687,15-Oct,3-Feb,rainy,8.1,0.8,23.5,12,11.4,,52.11,30.23
08/11/14,WE6,12:00,12:10,41 42.718,83 22.754,10-May,2-Jan,rainy,2.8,0.2,23.6,66.3,36.7,,70.87,97.96
08/11/14,WE8,14:02,14:10,41 50.007,83 21.785,15-Oct,3-Feb,rainy,4.2,0.4,23.7,22.6,8.9,,74.46,45.89
08/11/14,WE12,12:31,12:40,41 42.195,83 15.519,15-Oct,3-Feb,cloudy,6.1,0.6,23.8,11,2.9,,16.97,11.58
08/11/14,WE13,13:02,13:11,41 44.490,83 08.902,15-Oct,3-Feb,cloudy,8.3,1.2,23.5,8.5,3.4,,5.86,8.81
08/18/14,WE2,9:38,10:05,41 45.480,83 20.018,15-Oct,3-Feb,Cloudy,4.7,0.6,21.9,22.5,4.71,,23.89,39.39
08/18/14,WE4,12:31,12:52,41 49.588,83 11.688,15-Oct,3-Feb,Partly Sunny,8,2.1,21.6,1.49,0.21,,1.08,5.86
08/18/14,WE6,10:17,10:41,41 42.646,83 22.821,15-Oct,2,Partly Sunny,2.5,0.4,21.8,47.5,4.14,,25.56,50.7
08/18/14,WE8,13:18,13:37,41 50.044,83 21.814,15-Oct,1,Partly Cloudy,4.1,0.8,22.6,16.9,2.54,,11.37,36.01
08/18/14,WE12,11:02,11:28,41 42.244,83 15.589,15-Oct,3,Partly Sunny,6,0.5,22,31.6,3.39,,15.78,33.35
08/18/14,WE13,11:51,12:11,41 44.568,83 08.356,15-Oct,2-Jan,Partly Sunny,8.4,2,22,2.01,0.21,,0.68,5.95
08/25/14,WE2,9:50,10:06,41 46.001,83 20.043,10,<2,Cloudy,4.8,0.6,24.1,22.4,2.7,,18.81,27.1
08/25/14,WE4,12:19,12:32,41 49.648,83 11.639,10,<1,sunny,7.9,3,23.9,1.01,0.1,,1.37,3.56
08/25/14,WE6,10:23,10:38,41 42.859,83 22.837,10,<1,mostly cloudy,2.8,0.4,24.6,32.5,3.6,,15.24,32.5
08/25/14,WE8,13:02,13:12,41 49.955,83 21.516,10,<1,sunny,4.6,0.6,25.5,14.8,1.4,,22.12,22.85
08/25/14,WE12,11:05,11:28,41 42.298,83 15.377,10-May,<1,sunny,6,0.3,25,31.6,3.1,,45.72,38.28
08/25/14,WE13,11:45,11:58,41 44.570,83 08.451,10,<2,sunny,8.1,1.7,24.1,3.11,1.8,,16.76,11.01
09/02/14,WE2,10:16,10:30,41 45.854,83 19.688,15-Oct,2,cloudy,4.2,0.4,,19.3,0.6,nd,7.11,36.74
09/02/14,WE4,12:31,,41 49.666,83 12.267,15-Oct,3-Feb,rainy,7.8,1,,6.72,0.2,nd,7.53,28.42
09/02/14,WE6,10:49,,41 42.405,83 23.074,15-Oct,1,cloudy,2.9,0.4,,37.2,6.6,0.17,84.32,101.44
09/02/14,WE8,13:19,13:27,41 50.043,83 21.677,10,2-Jan,rainy,4.4,0.3,,30,3.5,nd,57.82,66.88
09/02/14,WE12,11:22,11:35,41 42.154,83 15.420,15-Oct,2-Jan,cloudy,5.8,0.6,,11.1,0.3,nd,6.25,23.62
09/02/14,WE13,11:54,12:02,41 44.416,83 08.478,15-Oct,3-Feb,cloudy,8,1,,4.36,nd,nd,23.76,18.69
09/08/14,WE2,9:51,10:08,41 45.911,83 19.954,10-May,2-Jan,sunny,4.8,0.8,,9.23,0.6,0.48,3.24,20.77
09/08/14,WE4,12:29,12:43,41 49.585,83 11.629,10,2,sunny,7.8,1.4,,6.55,0.8,0.25,15.81,26.24
09/08/14,WE6,10:28,10:41,41 42.647,83 22.875,10-May,1,sunny,2.4,0.4,,26.2,2.1,1.94,15.32,53.38
09/08/14,WE8,13:13,13:27,41 50.006,83 21.813,15-Oct,2,sunny,4,0.4,,17.6,3.5,0.91,31.94,41.82
09/08/14,WE12,11:08,11:23,41 42.266,83 15.322,10,2,sunny,6,0.7,,9.46,0.4,0.31,4.44,23.2
09/08/14,WE13,11:49,12:05,41 44.505,83 08.189,15-Oct,2,sunny,8,1.2,,4.97,1.4,0.09,9.21,13.09
09/15/14,WE2,9:51,,41 45.813,83 19.861,10,2-Jan,cloudy,5.2,0.7,19.3,10.2,0.7,0.87,9.1,13.72
09/15/14,WE4,12:14,,41 49.594,83 11.635,10,2-Jan,rainy,8,3,19.6,2.22,0.1,0.1,0.91,3.94
09/15/14,WE6,10:17,10:25,41 42.660,83 22.878,10,<1,cloudy,2.1,1.4,18.2,5.47,0.4,0.42,1.38,12.06
09/15/14,WE8,13:00,13:08,41 50.054,83 21.760,10,1,cloudy,4.1,,19.3,12.2,1.4,1.23,13.5,19.37
09/15/14,WE12,11:16,11:30,41 42.225,83 15.646,10,2-Jan,cloudy,5.8,0.4,18.4,15,1.3,1.04,4.78,18.49
09/15/14,WE13,11:49,11:58,41 44.437,83 08.446,10,2-Jan,cloudy,8.1,1.4,20.6,5.2,0.6,0.2,8.92,11.96
09/23/14,WE2,10:03,10:41,41 45.829,83 19.928,0-5,0-1,sunny,4.9,,18.4,9.42,1.35,1.4,30.84,12.64
09/23/14,WE4,12:58,13:26,41 49.615,83 11.686,0,<1,sunny,7.8,,17.9,1.87,0.3,0.1,0.49,2.62
09/23/14,WE6,10:55,,41 42.628,83 22.914,0,0,sunny,2.3,,16.9,6.59,3.7,1.3,17.46,12.88
09/23/14,WE8,13:48,14:08,41 50.096,83 21.761,0,1,sunny,4,,19.7,30.7,6,1.9,112.53,52.59
09/23/14,WE12,11:34,,41 42.196,83 15.499,0,0,sunny,5.8,,17.9,11,0.9,0.9,17.55,16.97
09/23/14,WE13,12:18,12:43,41 44.381,83 08.664,0,<1,sunny,8.1,,19,3.12,0.1,0.1,0.97,5.07
09/29/14,WE2,10:05,10:17,41 45.884,83 20.107,0,0,sunny,4,0.6,19.4,22.1,4.2,0.6,205.5,66.63
09/29/14,WE4,12:17,12:30,41 49.608,83 11.684,0,0,sunny,7.9,2.1,19.9,4.34,0.2,nd,3.65,9.21
09/29/14,WE6,10:30,10:42,41 42.586,83 22.962,0,0,sunny,2,0.5,20,17.7,1.7,1,22.51,45.89
09/29/14,WE8,12:53,13:07,41 50.176,83 21.631,0,0,sunny,4.2,0.2,20.9,48.3,7,0.7,86.38,109.66
09/29/14,WE12,11:10,11:25,41 42.185,83 15.546,0,0,foggy,5.9,0.8,19.5,31.9,0.6,0.5,21.87,22.25
09/29/14,WE13,11:48,11:58,41 44.258,83 08.508,0,0,foggy,8.1,0.6,20.1,12.6,0.2,0.1,110.03,94.45
09/29/14,WE8SCUM,12:53,13:07,41 50.176,83 21.631,0,0,sunny,4.2,0.2,20.9,909,53.2,1.8,2008.15,2949.38
10/06/14,WE2,10:21,10:31,41 45.795,83 19.942,15-Oct,2,cloudy,4.7,0.9,15.3,9.88,nd,0.3,6.24,8.06
10/06/14,WE4,12:37,12:48,41 49.567,83 11.725,20-Oct,2.3,cloudy,7.9,1.5,15.4,4.87,0.1,nd,0.36,1.18
10/06/14,WE6,10:53,11:04,41 42.649,83 22.836,15-Oct,2-Jan,cloudy,2.2,0.4,13,26.8,2.5,0.5,30.92,91.22
10/06/14,WE8,13:17,13:25,41 50.043,83 21.665,20-Oct,3-Feb,cloudy,4.4,0.5,14.7,22.8,0.2,0.6,9.54,18.5
10/06/14,WE12,11:22,11:34,41 42.240,83 15.446,15-Oct,2-Jan,cloudy,5.9,0.6,15.5,11.5,nd,0.2,0.5,3.97
10/06/14,WE13,12:04,12:20,41 44.576,83 08.659,20-Oct,3-Feb,cloudy,8.3,1,15.4,5.42,0.5,0.2,6.75,4.94
10/15/14,WE2,10:09,10:20,41 45.748,83 19.948,10,2,cloudy,5,0.7,14.2,10.3,0.45,0.3,0.94,6.85
10/15/14,WE4,12:13,12:25,41 49.606,88 11.638,10,1,mostly sunny,8,1.5,14.6,5.16,0.54,0.2,2.71,4.15
10/15/14,WE6,10:40,10:50,41 42.702,83 22.852,10,1,mostly sunny,2.6,0.7,14.7,15.8,0.62,0.3,15.11,26.3
10/15/14,WE8,12:48,13:00,41 50.034,83 21.163,10-May,<1,cloudy,4,0.4,14.7,112,4.89,0.4,673.18,466.5
10/15/14,WE12,11:11,11:25,41 42.237,83 15.694,10,1,mostly cloudy,5.7,0.7,14.6,11.1,0.3,0.1,0.39,4.11
10/15/14,WE13,11:43,11:55,41 44.462,83 08.643,10,2-Jan,mostly sunny,8.3,2.5,14.7,2.29,0.24,0.1,1.47,1.64
10/20/14,WE2,10:11,10:23,41 45.827,83 19.855,20-Oct,3-Jan,cloudy/rainy,4.8,1,12.5,6.58,nd,0.46,2.12,7.23
10/20/14,WE4,12:11,12:23,41 49.580,83 11.751,15-20,3,cloudy,7.7,1.7,13.1,2.83,nd,0.15,0.23,1.39
10/20/14,WE6,10:45,10:55,41 42.685,83 22.728,20-Oct,2,cloudy,2.3,0.9,12.1,14.7,nd,0.7,9.45,19.37
10/20/14,WE8,12:49,12:57,41 50.021,83 21.617,20-Oct,2,cloudy,4.2,0.5,13.3,19.3,0.12,0.8,1.04,2.07
10/20/14,WE12,11:14,11:24,41 42.269,83 15.663,20-Oct,2,partly cloudy,5.6,0.7,13,9.13,nd,0.38,0.54,5
10/20/14,WE13,11:43,11:52,41 44.533,83 08.236,20-Oct,3-Feb,mostly cloudy,8.2,3,13.3,2.3,nd,0.26,1.01,2.14
10/27/14,WE2,10:15,10:30,41 45.765,83 19.803,20-Oct,2,cloudy,5,1.7,12.1,5.99,nd,0.28,0.12,3.26
10/27/14,WE4,12:43,12:57,41 49.552,83 11.677,20-Oct,2,partly sunny,8.1,3.5,12.2,0.76,nd,nd,0,1.14
10/27/14,WE6,10:55,11:09,41 42.601,83 22.702,15-Oct,1,mostly sunny,2.6,0.9,11.6,6.27,nd,0.35,0.78,10.35
10/27/14,WE8,13:21,13:37,41 50.177,83 21.336,20-Oct,2,mostly sunny,4.6,1.5,12.3,2.38,nd,0.38,0.1,2.16
10/27/14,WE12,11:30,11:42,41 42.226,83 15.641,15-Oct,2,cloudy,6,0.9,12.2,6.17,nd,0.19,0.17,4.91
10/27/14,WE13,12:00,,41 44.463,83 08.074,20-Oct,2,cloudy,8.5,2.1,12.3,1.83,nd,nd,0,2.68
11/03/14,WE2,10:56,11:18,41 45.763,83 19.850,15-20,3-Feb,sunny,4.6,0.2,8.9,36.2,nd,0.14,0.06,2.97
11/03/14,WE6,11:38,11:58,41 42.849,83 22.485,15-20,2,sunny,2.6,0.2,7.4,73.4,nd,0.23,0.04,7.6
11/03/14,WE8,13:12,13:27,41 50.136,83 21.553,15-20,3-Feb,sunny,4.1,0.3,9.2,16.1,nd,0.18,0.06,3.65
11/03/14,WE12,12:15,12:40,41 42.190,83 15.560,15-20,3-Feb,sunny,5.7,0.2,9.2,105,nd,0.16,0.19,7.35
