SampleID	Samplenum	Date	Station	Fraction	Photonum	pH	Type	Intensive	Arrival	Departure	Sky	StationDepth	Secchi	Temp	Turbidity	ParMC	DissMC	Phycocyanin	Chla
E0128_22NA	E0128	10/20/14	WE4	22NA	E140210/218	7.979	sample	n	12:11	12:23	cloudy	7.7	1.7	13.1	2.83	nd	0.15	0.23	1.39
E0128_CNA	E0128	10/20/14	WE4	CNA	E140210/218	7.979	sample	n	12:11	12:23	cloudy	7.7	1.7	13.1	2.83	nd	0.15	0.23	1.39
E0130_100L	E0130	10/27/14	WE2	100L	E140212	NA	sample	n	10:15	10:30	cloudy	5	1.7	12.1	5.99	nd	0.28	0.12	3.26
E0130_22NA	E0130	10/27/14	WE2	22NA	E140212	NA	sample	n	10:15	10:30	cloudy	5	1.7	12.1	5.99	nd	0.28	0.12	3.26
E0130_CNA	E0130	10/27/14	WE2	CNA	E140212	NA	sample	n	10:15	10:30	cloudy	5	1.7	12.1	5.99	nd	0.28	0.12	3.26
E0132_100L	E0132	10/27/14	WE12	100L	E140214	NA	sample	n	11:30	11:42	cloudy	6	0.9	12.2	6.17	nd	0.19	0.17	4.91
E0132_22NA	E0132	10/27/14	WE12	22NA	E140214	NA	sample	n	11:30	11:42	cloudy	6	0.9	12.2	6.17	nd	0.19	0.17	4.91
E0132_CNA	E0132	10/27/14	WE12	CNA	E140214	NA	sample	n	11:30	11:42	cloudy	6	0.9	12.2	6.17	nd	0.19	0.17	4.91
E0134_100L	E0134	10/27/14	WE4	100L	E140216	NA	sample	n	12:43	12:57	partly sunny	8.1	3.5	12.2	0.76	nd	nd	0	1.14
E0134_22NA	E0134	10/27/14	WE4	22NA	E140216	NA	sample	n	12:43	12:57	partly sunny	8.1	3.5	12.2	0.76	nd	nd	0	1.14
E0134_CNA	E0134	10/27/14	WE4	CNA	E140216	NA	sample	n	12:43	12:57	partly sunny	8.1	3.5	12.2	0.76	nd	nd	0	1.14
E0136_100L	E0136	11/3/14	WE2	100L	E140219	NA	sample	n	10:56	11:18	sunny	4.6	0.2	8.9	36.2	nd	0.14	0.06	2.97
E0136_22NA	E0136	11/3/14	WE2	22NA	E140219	NA	sample	n	10:56	11:18	sunny	4.6	0.2	8.9	36.2	nd	0.14	0.06	2.97
E0136_CNA	E0136	11/3/14	WE2	CNA	E140219	NA	sample	n	10:56	11:18	sunny	4.6	0.2	8.9	36.2	nd	0.14	0.06	2.97
E0138_100L	E0138	11/3/14	WE12	100L	E140221	NA	sample	n	12:15	12:40	sunny	5.7	0.2	9.2	105	nd	0.16	0.19	7.35
E0138_22NA	E0138	11/3/14	WE12	22NA	E140221	NA	sample	n	12:15	12:40	sunny	5.7	0.2	9.2	105	nd	0.16	0.19	7.35
E0138_CNA	E0138	11/3/14	WE12	CNA	E140221	NA	sample	n	12:15	12:40	sunny	5.7	0.2	9.2	105	nd	0.16	0.19	7.35
EBL_01	EBL					NA	blank					NA		NA	NA			NA	NA
EBL_02	EBL					NA	blank					NA		NA	NA			NA	NA
EBL_03	EBL					NA	blank					NA		NA	NA			NA	NA
EBL_04	EBL					NA	blank					NA		NA	NA			NA	NA
EBL_042	EBL					NA	blank					NA		NA	NA			NA	NA
EBL_05	EBL					NA	blank					NA		NA	NA			NA	NA
MockA011515_S96	MockA011515_S96					NA	mock												
MockB011515_S192	MockB011515_S192					NA	mock												
TDMockC011915_S288	TDMockC011915_S288					NA	mock												
TDWaterA011915	TDWaterA011915					NA	water					NA		NA	NA			NA	NA
WaterB011515	WaterB011515					NA	water					NA		NA	NA			NA	NA
WaterC011515	WaterC011515					NA	water					NA		NA	NA			NA	NA
